운행업체,노선번호,노선ID,기점,기점 정류장 번호,종점,종점 정류장 번호
경원여객,3102번,216000061,새솔고,233003145,강남역우리은행,121000974
경원여객,3102번,216000061,새솔고,233003145,강남역우리은행,121000974
경원여객,13번,216000069,새솔고,233003145,원시역,217000292
경진여객,7790번,200000149,협성대정문,233003173,사당역(중),121001315
경진여객,7790번,200000149,협성대정문,233003173,사당역(중),121001315
경진여객,M5443번,200000279,능실마을21단지.수원여대입구,201000448,교대역,121000929
경진여객,M5443예약번,200000295,능실마을21단지.수원여대입구,201000448,시민의숲.양재꽃시장,121000220
경진여객,M5443예약번,200000295,능실마을21단지.수원여대입구,201000448,시민의숲.양재꽃시장,121000220
경진여객,M5532번,223000127,갈곶리삼거리(경유),277102407,사당역4번출구,120000059
경진여객,33-1번,233000010,경진여객차고지,233001064,구문천리,233000812
경진여객,2번,233000013,조암터미널,233000929,고온리종점,233000481
경진여객,4번,233000015,조암터미널,233000929,이화리종점,233001052
경진여객,5-2번,233000019,조암터미널,233000929,조암터미널,233000928
경진여객,5-4번,233000021,조암터미널,233000929,호곡3리마을회관,233000408
경진여객,5-4번,233000021,조암터미널,233000929,호곡3리마을회관,233000408
경진여객,15번,233000022,조암터미널,233000929,장안6리노인회관,233001810
경진여객,14번,233000024,조암터미널,233000929,덕다3리.문화촌,233001138
경진여객,9번,233000025,조암터미널,233000929,노진리종점,233000466
경진여객,19번,233000026,조암터미널,233000929,노진리종점,233000466
경진여객,3-1번,233000027,조암터미널,233000929,운평1리평밭,233001163
경진여객,3번,233000028,조암터미널,233002665,뒷말,233000419
경진여객,2-4번,233000029,조암터미널,233000929,화산1리종점,233001252
경진여객,2-3번,233000030,조암터미널,233000929,조암터미널,233000928
경진여객,16번,233000034,조암터미널,233002665,조암터미널,233002665
경진여객,2-2번,233000035,조암터미널,233000929,조암터미널,233000928
경진여객,18번,233000036,조암터미널,233000929,궁평항,233001799
경진여객,4-1번,233000038,조암터미널,233000929,안중구터미널,214000869
경진여객,6번,233000040,조암터미널,233000929,발안만세시장,233000387
경진여객,11번,233000041,발안만세시장,233001394,조암터미널,233000928
경진여객,6-2번,233000043,조암터미널,233000929,발안만세시장,233000387
경진여객,17번,233000044,조암터미널,233000929,화수3리노인회관,233001803
경진여객,6-3번,233000045,조암터미널,233000929,발안만세시장,233000387
경진여객,8번,233000046,조암터미널,233000929,원안1리종점,233001397
경진여객,8-3번,233000047,조암터미널,233000929,조암터미널,233000928
경진여객,1번,233000048,조암터미널,233000929,장안제일교회,233001423
경진여객,8-2번,233000049,조암터미널,233000929,조암터미널,233000928
경진여객,1-1번,233000051,조암터미널,233000929,장안4리(고잔)종점,233001425
경진여객,2-1번,233000052,조암터미널,233000929,조암터미널,233000928
경진여객,7-1번,233000056,조암터미널,233000929,발안만세시장,233000387
경진여객,8-1번,233000057,조암터미널,233000929,조암터미널,233000928
